,Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score
491,Female,15.0,Yes,Urban,67.2,Tertiary,100.0
492,Female,14.2,No,Urban,67.3,Tertiary,84.6
493,Male,7.1,No,Urban,57.2,Tertiary,48.6
494,Female,11.6,No,Rural,53.1,Tertiary,72.2
495,Male,5.2,No,Urban,66.9,Primary,55.5
496,Female,3.4,No,Rural,92.5,Tertiary,46.2
497,Male,12.5,No,Urban,95.9,none,82.4
498,Female,8.7,Yes,Rural,69.2,Tertiary,75.5
499,Male,16.0,No,Urban,90.8,Secondary,95.2
500,Female,6.0,No,Urban,99.0,Tertiary,64.1
501,Female,16.0,Yes,Rural,90.6,Secondary,100.0
502,Male,12.9,No,Urban,99.4,Secondary,92.3
503,Male,16.0,No,Rural,51.4,none,79.6
504,Male,14.3,No,Urban,54.4,none,82.5
505,Female,12.5,Yes,Urban,83.9,Tertiary,100.0
506,Female,2.8,Yes,Urban,72.7,Primary,57.0
507,Female,10.8,No,Rural,73.4,Tertiary,72.8
508,Male,7.5,Yes,Urban,75.1,Tertiary,75.1
509,Male,1.7,No,Urban,99.3,Secondary,39.7
510,Female,8.7,No,Urban,75.0,Primary,61.7
511,Male,7.2,No,Urban,97.5,none,63.4
512,Male,9.7,Yes,Urban,53.0,Secondary,75.9
513,Female,7.0,No,Urban,94.5,Tertiary,59.6
514,Male,11.6,No,Urban,68.2,Primary,71.9
515,Male,3.9,No,Rural,88.6,Secondary,44.0
516,Male,8.8,No,Urban,67.3,Secondary,64.6
517,Female,11.4,No,Urban,79.9,Secondary,73.8
518,Male,6.1,Yes,Urban,54.9,none,61.6
519,Female,8.8,Yes,Urban,55.9,Secondary,69.3
520,Male,0.0,No,Urban,57.2,Tertiary,28.0
521,Female,5.0,Yes,Urban,83.2,Secondary,70.2
522,Male,11.2,No,Rural,80.7,Secondary,74.2
523,Female,9.9,No,Rural,55.9,Tertiary,55.2
524,Female,10.0,No,Urban,79.4,Tertiary,61.1
525,Male,9.8,No,Rural,68.7,Primary,57.3
526,Male,5.6,No,Rural,80.2,Secondary,46.3
527,Female,12.2,Yes,Rural,86.8,Tertiary,95.5
528,Male,7.3,No,Urban,92.0,Tertiary,59.8
529,Female,11.6,Yes,Urban,65.2,Tertiary,86.7
530,Male,16.0,Yes,Urban,74.2,Primary,100.0
531,Female,7.7,No,Rural,70.2,Secondary,58.6
532,Male,13.4,No,Urban,99.3,Tertiary,88.7
533,Male,8.7,No,Rural,78.3,Tertiary,66.7
534,Male,6.9,No,Rural,54.5,none,53.5
535,Male,12.2,No,Urban,88.6,Tertiary,79.9
536,Female,9.1,No,Urban,84.6,Secondary,75.4
537,Female,12.0,No,Urban,62.9,Secondary,74.9
538,Male,16.0,No,Rural,60.7,Secondary,80.7
539,Female,9.7,Yes,Urban,87.5,none,74.7
540,Male,9.2,No,Urban,95.6,Secondary,72.0
541,Female,11.9,No,Urban,83.4,Secondary,76.1
542,Female,10.8,Yes,Rural,90.4,Secondary,98.2
543,Male,11.0,No,Urban,83.5,Tertiary,74.7
544,Female,5.2,No,Rural,97.1,Primary,56.3
545,Male,6.1,No,Urban,58.7,Secondary,42.9
546,Male,6.8,No,Rural,63.6,Tertiary,50.7
547,Male,14.6,No,Rural,61.2,Primary,74.9
548,Male,13.2,Yes,Urban,99.5,Tertiary,100.0
549,Male,14.9,No,Urban,94.0,Tertiary,100.0
550,Female,3.7,No,Rural,86.9,Primary,49.8
551,Female,12.8,No,Urban,70.6,Primary,72.1
552,Male,11.1,No,Rural,65.3,Secondary,68.8
553,Male,16.0,No,Urban,82.3,Secondary,94.9
554,Male,14.2,No,Urban,98.3,Tertiary,92.4
555,Male,9.9,No,Urban,88.5,Tertiary,77.2
556,Female,9.5,No,Urban,69.3,Secondary,71.0
557,Female,11.4,No,Urban,80.7,none,80.4
558,Male,4.5,No,Urban,51.9,none,38.5
559,Male,4.3,Yes,Rural,88.2,Secondary,61.3
560,Female,9.0,No,Rural,57.0,Secondary,61.6
561,Male,12.6,No,Rural,64.3,Tertiary,75.6
562,Female,11.7,Yes,Urban,80.9,Secondary,96.5
563,Female,11.2,No,Rural,70.9,Primary,70.3
564,Female,9.4,No,Urban,85.9,Secondary,66.7
565,Female,13.8,Yes,Rural,61.8,none,77.7
566,Female,9.5,Yes,Urban,54.9,Primary,70.5
567,Female,6.7,No,Urban,72.8,Secondary,60.8
568,Female,5.0,Yes,Urban,61.2,Secondary,64.9
569,Female,8.1,No,Rural,59.1,Primary,57.5
570,Female,5.3,No,Rural,94.8,Secondary,51.3
571,Female,6.6,No,Urban,82.8,Primary,56.6
572,Female,4.4,No,Rural,89.1,Tertiary,52.6
573,Male,14.1,Yes,Urban,97.4,Secondary,100.0
574,Male,6.5,No,Urban,50.1,Secondary,42.1
575,Female,7.9,Yes,Urban,60.4,Primary,79.2
576,Female,12.2,No,Urban,96.0,Tertiary,89.5
577,Female,4.1,Yes,Urban,70.0,Primary,59.8
578,Female,5.7,No,Rural,97.1,Tertiary,63.6
579,Male,16.0,No,Urban,84.2,Tertiary,92.7
580,Male,6.6,No,Rural,83.4,Tertiary,48.0
581,Female,12.0,No,Urban,69.5,Tertiary,74.4
582,Male,16.0,No,Rural,70.4,Secondary,81.4
583,Male,12.5,No,Urban,83.5,Secondary,80.0
584,Female,11.7,No,Urban,88.5,Secondary,76.8
585,Male,16.0,No,Urban,57.0,Primary,80.1
586,Female,6.7,No,Rural,94.1,Tertiary,65.0
587,Male,2.8,No,Rural,86.1,Secondary,43.3
588,Female,7.4,No,Urban,93.4,Primary,65.5
589,Male,7.0,No,Urban,70.0,none,47.1
590,Male,10.0,Yes,Rural,56.9,Secondary,79.4
591,Female,7.5,No,Urban,68.0,Primary,52.0
592,Male,13.7,Yes,Urban,56.4,Tertiary,93.9
593,Male,12.5,No,Urban,75.2,Tertiary,76.4
594,Male,4.8,Yes,Rural,52.7,Primary,55.8
595,Male,13.3,No,Urban,88.6,Secondary,80.8
596,Male,9.6,Yes,Rural,68.1,Tertiary,77.9
597,Female,0.2,Yes,Rural,60.6,Tertiary,42.3
598,Male,12.8,No,Urban,87.1,Tertiary,83.3
599,Female,3.4,No,Urban,51.3,Primary,41.3
600,Male,15.8,Yes,Rural,53.2,Tertiary,100.0
601,Male,9.9,No,Urban,77.7,Secondary,60.1
602,Female,9.1,No,Urban,53.1,Tertiary,53.7
603,Female,13.2,No,Urban,76.6,Primary,80.3
604,Female,10.4,Yes,Rural,98.3,Secondary,93.4
605,Female,14.2,No,Rural,69.3,Secondary,83.2
606,Male,12.3,No,Urban,85.1,Primary,67.4
607,Male,8.6,No,Urban,65.9,Secondary,54.4
608,Female,16.0,No,Urban,92.4,Tertiary,99.5
609,Male,0.7,No,Urban,99.3,Secondary,37.7
610,Female,7.5,No,Rural,89.8,Primary,67.3
611,Female,6.0,No,Urban,80.5,Secondary,56.6
612,Female,8.7,No,Urban,99.3,Secondary,77.5
613,Female,10.6,No,Urban,94.5,Secondary,76.1
614,Male,10.0,No,Urban,90.8,Secondary,76.1
615,Male,15.2,No,Urban,86.5,Tertiary,91.4
616,Female,10.5,Yes,Urban,53.3,Secondary,80.3
617,Male,13.3,No,Urban,96.3,Tertiary,90.0
618,Male,7.2,No,Urban,52.4,Tertiary,51.1
619,Female,7.0,No,Urban,96.0,Secondary,56.0
620,Female,10.9,Yes,Urban,74.2,none,75.4
621,Female,9.9,No,Urban,98.2,Tertiary,81.8
622,Male,14.6,No,Urban,53.1,Tertiary,80.9
623,Male,8.0,No,Rural,72.5,Secondary,54.4
624,Male,12.7,No,Rural,93.8,Primary,82.3
625,Female,10.5,No,Urban,67.9,Tertiary,65.9
626,Female,15.3,No,Urban,97.1,Primary,96.1
627,Male,9.8,No,Rural,51.4,Tertiary,66.4
628,Female,10.3,No,Urban,68.6,Tertiary,71.6
629,Male,14.5,No,Urban,51.6,Secondary,77.8
630,Male,4.6,No,Urban,85.2,Primary,47.3
631,Male,12.3,Yes,Rural,70.0,Tertiary,92.1
632,Female,8.7,No,Urban,54.2,Primary,57.3
633,Female,7.4,No,Rural,72.9,Secondary,62.0
634,Male,13.8,No,Urban,79.5,Secondary,84.5
635,Female,8.6,No,Urban,90.2,Secondary,61.4
636,Male,12.1,No,Urban,67.6,Secondary,74.1
637,Female,16.0,Yes,Rural,91.1,none,100.0
638,Male,14.8,No,Urban,89.8,Tertiary,84.4
639,Male,16.0,Yes,Urban,93.3,none,100.0
640,Female,6.1,No,Rural,82.9,Tertiary,51.1
641,Male,3.0,No,Urban,63.4,Tertiary,45.3
642,Male,11.3,No,Urban,99.2,Tertiary,83.1
643,Male,14.8,No,Urban,97.4,Secondary,91.1
644,Male,11.1,No,Rural,54.6,Primary,57.2
645,Male,0.0,No,Urban,76.0,none,31.0
646,Female,11.0,No,Urban,53.3,Secondary,72.7
647,Female,9.9,No,Rural,84.9,Primary,65.1
648,Female,13.4,No,Urban,83.3,Primary,79.3
649,Female,4.3,Yes,Rural,50.9,Primary,53.3
650,Female,14.0,No,Urban,91.9,Primary,82.4
651,Female,4.2,No,Urban,60.0,Primary,39.1
652,Female,5.1,Yes,Urban,52.9,Secondary,66.9
653,Female,0.0,Yes,Urban,62.0,Secondary,41.9
654,Male,16.0,No,Rural,91.5,Secondary,84.5
655,Male,0.5,Yes,Rural,65.6,Secondary,36.5
656,Male,13.5,No,Urban,95.5,Tertiary,94.5
657,Male,9.3,Yes,Urban,67.1,none,75.2
658,Female,8.7,No,Urban,80.6,Secondary,65.1
659,Female,15.3,No,Rural,86.8,Secondary,97.3
660,Female,12.1,No,Urban,98.5,Tertiary,81.7
661,Female,12.3,No,Urban,91.8,Primary,82.7
662,Male,16.0,No,Rural,91.8,Secondary,89.7
663,Female,15.3,No,Rural,59.5,Primary,84.7
664,Male,16.0,No,Rural,53.6,Primary,79.0
665,Male,5.5,Yes,Urban,70.7,Secondary,63.8
666,Female,2.8,No,Urban,76.0,none,36.6
667,Female,10.3,No,Rural,65.0,Tertiary,67.7
668,Female,11.0,No,Urban,77.6,Tertiary,82.4
669,Male,11.0,No,Rural,78.7,none,64.6
670,Female,12.7,No,Urban,69.4,Secondary,86.6
671,Female,11.0,No,Urban,80.0,Secondary,72.0
672,Female,9.3,No,Urban,70.3,Tertiary,63.6
673,Male,12.2,No,Urban,64.2,Secondary,69.7
674,Female,9.3,No,Urban,63.1,Secondary,52.9
675,Female,12.6,No,Rural,62.1,Secondary,73.6
676,Female,14.9,No,Rural,52.4,Primary,78.2
677,Female,0.8,No,Rural,60.1,Primary,24.0
678,Female,8.8,No,Rural,86.1,Primary,71.6
679,Male,12.6,No,Urban,98.8,Secondary,88.8
680,Male,6.0,No,Rural,93.5,Primary,56.2
681,Female,16.0,No,Urban,66.3,Primary,83.2
682,Male,14.0,Yes,Urban,95.2,Secondary,100.0
683,Male,11.9,Yes,Urban,85.7,Secondary,86.5
684,Male,5.4,No,Urban,76.2,none,43.4
685,Female,7.0,No,Urban,69.4,Tertiary,45.7
686,Male,9.0,Yes,Urban,52.9,none,71.5
687,Female,13.8,No,Rural,89.6,Secondary,70.6
688,Male,13.2,No,Rural,97.4,Tertiary,81.8
689,Female,16.0,No,Urban,78.3,Secondary,92.8
690,Male,9.5,No,Rural,83.5,none,56.3
691,Female,5.9,No,Rural,55.6,Primary,38.0
692,Female,10.0,No,Urban,70.7,Primary,66.0
693,Male,4.7,No,Rural,73.7,Secondary,49.6
694,Female,14.7,Yes,Rural,57.9,Primary,91.8
695,Male,6.2,No,Urban,84.0,Tertiary,53.0
696,Male,12.7,No,Rural,95.4,Secondary,85.7
697,Male,14.0,No,Urban,75.3,Secondary,76.1
698,Female,6.7,No,Urban,93.2,none,52.1
699,Male,5.8,Yes,Urban,81.4,Secondary,72.8
700,Female,2.4,Yes,Rural,72.4,Primary,52.5
701,Male,10.2,No,Urban,74.8,Primary,61.3
702,Female,11.0,No,Rural,86.4,Primary,67.7
703,Female,10.4,No,Urban,51.9,none,55.2
704,Male,10.7,No,Urban,66.8,Tertiary,70.6
705,Female,8.8,No,Urban,83.8,Primary,62.4
706,Female,2.6,Yes,Urban,84.4,Secondary,60.5
707,Male,7.4,No,Rural,60.9,Primary,47.9
708,Female,4.5,No,Urban,59.9,Primary,49.4
709,Female,8.8,No,Urban,91.4,Primary,67.4
710,Female,7.6,No,Rural,79.7,Secondary,43.0
711,Female,6.0,No,Urban,70.1,Tertiary,62.5
712,Female,5.8,Yes,Urban,55.6,Secondary,59.9
713,Male,6.7,Yes,Rural,74.4,Secondary,65.1
714,Male,4.8,Yes,Rural,86.4,Tertiary,56.3
715,Female,11.8,Yes,Rural,65.1,Primary,82.8
716,Female,14.6,No,Rural,92.2,Tertiary,86.5
717,Female,7.9,No,Rural,57.8,Primary,51.7
718,Female,11.7,Yes,Urban,58.0,none,82.1
719,Male,13.9,No,Urban,53.7,Secondary,75.0
720,Female,16.0,No,Urban,90.8,Primary,90.7
721,Male,5.9,No,Urban,64.2,Secondary,52.2
722,Male,12.3,No,Urban,86.2,Primary,74.9
723,Female,7.6,No,Rural,73.6,Tertiary,57.5
724,Male,12.0,No,Urban,88.1,Tertiary,77.7
725,Female,9.8,Yes,Urban,76.7,Secondary,88.1
726,Male,13.0,No,Rural,53.2,Tertiary,81.1
727,Female,4.7,No,Urban,69.4,Secondary,40.8
728,Female,8.3,Yes,Urban,71.8,Tertiary,79.3
729,Male,12.4,No,Urban,64.9,Tertiary,82.7
730,Female,9.8,No,Rural,75.7,Secondary,68.0
731,Female,8.5,Yes,Urban,55.8,Tertiary,75.3
732,Male,4.0,No,Rural,66.2,none,31.8
733,Female,10.3,Yes,Rural,96.7,Primary,81.3
734,Male,12.5,No,Urban,99.6,Primary,81.3
735,Male,13.3,No,Urban,73.2,Secondary,85.3
736,Male,11.3,No,Rural,71.3,Primary,62.2
737,Male,10.2,Yes,Urban,73.6,Primary,75.0
738,Female,2.2,No,Urban,75.5,Primary,48.7
739,Male,16.0,No,Urban,72.5,Tertiary,92.0
740,Male,2.1,Yes,Urban,85.8,Tertiary,55.5
741,Female,7.7,No,Urban,85.8,Tertiary,62.9
742,Male,12.7,No,Urban,56.2,Secondary,74.6
743,Male,12.4,No,Rural,58.5,Secondary,69.0
744,Male,4.8,Yes,Urban,76.8,Secondary,66.3
745,Female,11.0,Yes,Urban,83.4,Secondary,83.1
746,Male,13.7,No,Urban,68.0,Primary,72.6
747,Female,11.8,Yes,Urban,94.6,Primary,97.3
748,Male,15.1,Yes,Urban,54.8,Primary,99.4
749,Male,10.4,No,Rural,82.8,Tertiary,74.2
750,Male,14.9,No,Rural,58.3,Secondary,84.9
751,Male,7.8,Yes,Rural,91.4,Primary,75.8
752,Female,8.0,No,Urban,76.8,Secondary,59.7
753,Female,12.5,No,Urban,76.4,Secondary,74.2
754,Female,11.5,No,Urban,80.3,none,65.0
755,Male,14.5,Yes,Urban,85.3,Tertiary,100.0
756,Male,16.0,Yes,Urban,97.7,Secondary,100.0
757,Female,0.7,Yes,Rural,87.4,Secondary,52.6
758,Female,12.4,No,Urban,64.9,Primary,80.6
759,Male,3.3,No,Urban,72.3,Secondary,44.7
760,Female,4.5,Yes,Rural,68.0,Primary,49.2
761,Female,5.4,No,Urban,81.3,Secondary,52.6
762,Male,8.2,No,Urban,69.6,Primary,59.2
763,Female,8.8,Yes,Rural,52.1,Primary,66.3
764,Female,5.6,No,Rural,96.2,Secondary,61.3
765,Male,15.0,No,Urban,70.3,Secondary,79.9
766,Female,10.6,Yes,Rural,97.2,Tertiary,83.9
767,Male,4.4,No,Urban,86.1,Primary,47.3
768,Female,6.7,Yes,Urban,95.9,Secondary,74.0
769,Female,8.9,Yes,Rural,91.2,Secondary,74.4
770,Male,16.0,No,Rural,82.3,Tertiary,87.8
771,Male,6.8,Yes,Rural,53.4,Primary,57.6
772,Male,5.6,Yes,Rural,91.9,Primary,68.1
773,Male,16.0,No,Rural,84.6,Tertiary,94.8
774,Female,8.4,Yes,Urban,97.9,Tertiary,88.9
775,Female,8.1,Yes,Rural,57.1,Secondary,76.2
776,Male,9.4,No,Urban,54.4,none,58.7
777,Male,7.4,No,Urban,75.9,Secondary,57.3
778,Female,11.1,Yes,Rural,68.0,Secondary,87.2
779,Female,10.0,No,Rural,98.0,Tertiary,79.5
780,Male,9.6,Yes,Rural,85.2,Secondary,83.1
781,Male,10.6,No,Rural,72.3,Secondary,62.4
782,Male,11.4,No,Urban,59.6,Tertiary,71.8
783,Female,0.0,No,Rural,72.1,Tertiary,28.6
784,Male,4.0,No,Rural,73.3,Secondary,36.0
785,Female,11.7,No,Rural,50.5,Primary,69.9
786,Male,13.3,Yes,Urban,62.9,Tertiary,96.7
787,Male,4.0,No,Urban,62.3,Secondary,43.3
788,Female,15.0,No,Rural,69.1,none,83.8
789,Male,6.3,Yes,Urban,71.2,Tertiary,77.5
790,Male,6.1,No,Urban,63.4,Secondary,49.2
791,Male,7.3,No,Urban,55.6,Secondary,41.6
792,Female,6.1,No,Rural,56.9,Secondary,46.8
793,Female,10.4,Yes,Urban,84.4,Secondary,86.6
794,Male,16.0,No,Urban,97.8,Tertiary,100.0
795,Male,8.7,No,Rural,67.2,none,51.7
796,Male,3.8,Yes,Urban,57.1,Secondary,49.4
797,Female,13.1,No,Urban,63.0,none,68.7
798,Male,9.7,No,Rural,57.6,Tertiary,66.5
799,Male,12.9,No,Rural,59.7,Tertiary,81.6
800,Female,6.6,No,Urban,83.1,Primary,70.6
801,Male,11.7,Yes,Urban,69.2,Tertiary,94.7
802,Female,7.1,Yes,Rural,62.5,Secondary,58.7
803,Male,8.0,Yes,Urban,79.1,Secondary,81.5
804,Male,7.1,No,Urban,94.9,Tertiary,60.3
805,Female,10.8,No,Urban,51.2,Primary,66.6
806,Female,2.7,Yes,Rural,79.8,Secondary,55.2
807,Male,3.8,No,Urban,83.6,Secondary,46.6
808,Male,8.2,No,Rural,71.7,Secondary,53.3
809,Female,8.2,Yes,Urban,96.0,Tertiary,93.6
810,Female,10.8,Yes,Urban,58.5,Secondary,84.0
811,Female,1.8,No,Urban,50.6,Secondary,31.3
812,Male,16.0,No,Rural,92.0,Primary,92.0
813,Male,13.3,No,Urban,69.8,Tertiary,85.8
814,Male,8.4,No,Rural,91.5,none,53.1
815,Male,15.0,No,Urban,99.8,Secondary,92.7
816,Male,15.4,Yes,Urban,55.8,Secondary,94.4
817,Female,1.6,No,Rural,91.6,Primary,30.9
818,Male,11.3,No,Rural,88.0,Primary,76.3
819,Male,15.4,Yes,Urban,88.8,Secondary,100.0
820,Male,9.5,No,Rural,72.0,Primary,58.9
821,Male,9.6,No,Urban,80.5,Tertiary,65.4
822,Male,7.4,Yes,Urban,62.4,Secondary,73.6
823,Female,11.9,No,Rural,51.6,none,53.6
824,Female,10.4,No,Rural,86.4,Tertiary,72.9
825,Female,9.1,No,Urban,56.9,Tertiary,55.6
826,Female,15.6,No,Urban,65.0,Tertiary,90.4
827,Female,8.1,No,Rural,52.7,Secondary,52.8
828,Male,6.6,No,Urban,78.3,Tertiary,53.7
829,Male,16.0,No,Urban,92.9,Tertiary,92.6
830,Female,9.5,No,Urban,53.6,Secondary,64.6
831,Female,8.6,Yes,Urban,69.6,Tertiary,76.0
832,Female,12.0,No,Urban,91.6,Primary,85.7
833,Female,10.9,Yes,Rural,88.7,Secondary,93.0
834,Female,4.7,Yes,Urban,60.7,Tertiary,68.9
835,Female,14.7,No,Rural,62.6,Secondary,74.2
836,Female,10.7,No,Urban,81.6,Tertiary,84.6
837,Female,9.8,Yes,Rural,62.0,Secondary,76.5
838,Male,11.2,No,Rural,67.2,Secondary,59.9
839,Male,6.6,Yes,Urban,89.0,Secondary,68.3
840,Male,8.9,No,Rural,80.8,Tertiary,59.0
841,Female,11.7,No,Urban,55.3,Tertiary,69.0
842,Female,12.4,No,Urban,69.3,Secondary,77.8
843,Female,7.5,No,Urban,59.9,none,49.4
844,Female,10.5,Yes,Urban,77.3,Primary,87.5
845,Male,9.6,No,Urban,97.4,Primary,73.0
846,Male,13.6,No,Rural,75.0,Secondary,76.0
847,Female,11.4,Yes,Urban,91.7,Tertiary,97.4
848,Male,11.3,No,Urban,84.0,Tertiary,80.9
849,Female,12.7,No,Urban,73.0,Secondary,83.5
850,Female,11.5,Yes,Rural,95.7,Secondary,95.0
851,Female,4.8,No,Rural,98.6,none,57.0
852,Female,16.0,No,Urban,97.3,Tertiary,100.0
853,Female,8.7,Yes,Urban,93.9,Secondary,80.6
854,Male,9.6,No,Rural,87.0,none,57.9
855,Male,9.8,No,Urban,95.9,Tertiary,76.6
856,Male,4.3,No,Rural,59.7,Secondary,43.3
857,Male,7.6,No,Urban,93.6,Secondary,70.2
858,Female,11.8,No,Urban,75.0,Secondary,78.3
859,Male,9.4,No,Urban,57.3,Tertiary,57.7
860,Male,9.3,No,Urban,74.7,Tertiary,69.5
861,Male,11.5,No,Urban,51.9,Secondary,63.7
862,Male,6.6,No,Urban,95.3,Primary,59.1
863,Female,7.7,Yes,Rural,62.9,Secondary,70.8
864,Female,16.0,No,Urban,63.3,none,70.2
865,Female,7.2,No,Rural,72.2,Secondary,49.0
866,Female,8.9,Yes,Rural,59.5,none,76.6
867,Female,5.9,No,Urban,96.3,Primary,63.6
868,Male,15.3,No,Urban,84.5,Tertiary,97.3
869,Female,11.1,Yes,Urban,83.9,Primary,82.5
870,Male,12.9,No,Urban,95.8,Tertiary,75.6
871,Male,8.9,No,Urban,56.6,Secondary,60.2
872,Female,9.8,Yes,Rural,63.0,Secondary,75.5
873,Female,9.7,No,Urban,83.3,Tertiary,86.0
874,Female,6.9,No,Urban,84.4,Secondary,61.5
875,Female,3.0,No,Rural,91.7,Tertiary,42.3
876,Female,15.3,Yes,Rural,86.4,Primary,100.0
877,Male,13.6,Yes,Rural,52.1,Tertiary,90.1
878,Male,15.2,No,Urban,81.2,Primary,91.2
879,Female,4.5,No,Rural,89.3,Secondary,51.5
880,Male,10.1,No,Urban,93.4,Primary,79.7
881,Male,11.3,Yes,Urban,93.6,none,84.6
882,Female,12.5,No,Rural,59.7,Secondary,75.2
883,Female,15.4,No,Rural,62.2,Primary,90.1
884,Female,9.9,Yes,Rural,80.2,Secondary,75.8
885,Male,16.0,No,Rural,73.3,Primary,71.8
886,Male,2.3,No,Rural,68.0,none,31.7
887,Female,12.0,No,Urban,98.3,Tertiary,100.0
888,Female,5.9,No,Rural,60.7,Secondary,44.0
889,Male,12.5,Yes,Rural,92.6,Primary,85.4
890,Male,16.0,No,Rural,80.3,Tertiary,91.0
891,Male,7.4,Yes,Rural,84.8,Secondary,76.5
892,Female,15.7,No,Rural,88.7,Secondary,96.7
893,Female,10.3,No,Urban,73.6,Tertiary,78.7
894,Male,16.0,No,Rural,98.7,Primary,94.0
895,Female,12.7,No,Rural,74.0,Primary,72.6
896,Male,8.2,No,Rural,64.1,Tertiary,66.9
897,Female,10.6,No,Rural,95.3,Secondary,67.6
898,Male,7.2,No,Urban,74.2,Secondary,50.0
899,Female,12.9,No,Rural,96.4,Primary,82.0
900,Female,7.1,Yes,Urban,76.5,Secondary,72.5
901,Female,8.5,No,Urban,61.3,Secondary,57.8
902,Female,0.0,No,Rural,67.2,Secondary,33.2
903,Male,6.5,No,Urban,99.1,Secondary,62.2
904,Male,6.7,No,Rural,60.5,Secondary,47.1
905,Male,14.9,Yes,Urban,68.1,Secondary,100.0
906,Female,13.4,No,Urban,64.4,Primary,80.2
907,Female,11.4,No,Urban,85.8,Secondary,88.8
908,Female,10.9,No,Rural,61.6,Tertiary,67.6
909,Female,13.7,No,Rural,91.6,none,84.3
910,Male,10.0,Yes,Rural,97.9,Secondary,82.5
911,Male,16.0,Yes,Urban,70.8,Tertiary,100.0
912,Male,11.6,No,Rural,74.7,Secondary,71.0
913,Male,8.0,Yes,Rural,89.3,Tertiary,71.6
914,Male,13.4,Yes,Urban,72.1,none,93.3
915,Male,10.1,Yes,Rural,53.5,Primary,64.8
916,Female,14.3,No,Urban,77.2,Secondary,79.2
917,Female,15.6,No,Urban,76.1,none,91.0
918,Male,3.6,Yes,Urban,71.0,Secondary,59.9
919,Female,10.1,No,Urban,64.5,Secondary,65.9
920,Male,13.4,No,Rural,62.2,Secondary,75.0
921,Male,3.7,No,Urban,76.8,Secondary,50.8
922,Female,8.8,No,Urban,57.8,Tertiary,64.5
923,Male,6.9,Yes,Rural,56.5,Secondary,59.3
924,Female,13.3,No,Urban,74.5,Primary,85.5
925,Male,6.1,Yes,Rural,68.3,Secondary,61.5
926,Male,9.5,No,Urban,89.1,Primary,67.2
927,Male,5.3,No,Rural,69.6,Primary,41.8
928,Male,15.0,Yes,Urban,95.4,Secondary,100.0
929,Female,11.6,No,Rural,57.7,Secondary,67.1
930,Male,9.3,No,Urban,95.6,Primary,68.0
931,Male,3.8,No,Urban,58.8,Secondary,38.4
932,Female,10.3,Yes,Urban,61.5,Tertiary,79.0
933,Female,12.8,No,Urban,60.7,Primary,71.6
934,Male,10.1,No,Urban,89.2,none,67.9
935,Male,10.8,No,Rural,71.0,Primary,72.2
936,Female,11.0,No,Urban,92.6,Tertiary,75.2
937,Male,2.7,No,Urban,82.8,none,43.0
938,Female,5.3,No,Rural,55.4,Primary,45.4
939,Male,6.0,No,Urban,51.3,Primary,47.2
940,Female,12.4,Yes,Rural,79.5,Tertiary,96.8
941,Male,10.8,No,Urban,94.7,Tertiary,77.2
942,Female,7.3,No,Rural,61.2,Secondary,47.1
943,Female,4.6,Yes,Rural,72.3,none,60.6
944,Female,12.9,No,Urban,52.2,Secondary,70.2
945,Male,9.2,No,Urban,74.2,Tertiary,67.3
946,Female,0.0,No,Urban,90.0,Primary,32.6
947,Male,4.9,Yes,Urban,74.0,Primary,53.5
948,Female,16.0,Yes,Urban,71.7,Secondary,94.2
949,Female,10.6,No,Urban,62.2,Secondary,73.7
950,Male,4.4,No,Rural,76.7,Tertiary,47.6
951,Male,15.6,Yes,Urban,92.0,Tertiary,100.0
952,Male,10.3,No,Urban,77.4,Tertiary,70.9
953,Female,14.4,Yes,Urban,64.7,Secondary,92.2
954,Female,6.5,Yes,Urban,89.4,Secondary,77.3
955,Male,16.0,No,Urban,55.5,Secondary,87.2
956,Male,9.6,No,Rural,51.8,Primary,57.2
957,Male,8.8,No,Urban,59.9,Primary,53.1
958,Male,7.2,No,Urban,76.5,Tertiary,62.6
959,Male,8.4,Yes,Urban,64.8,Tertiary,75.1
960,Male,7.2,Yes,Urban,84.1,Secondary,71.5
961,Female,16.0,No,Urban,92.1,Secondary,100.0
962,Male,7.8,No,Urban,65.9,Secondary,61.2
963,Male,14.0,No,Urban,87.6,Secondary,88.6
964,Male,12.9,Yes,Urban,62.2,Primary,85.0
965,Male,8.5,Yes,Urban,91.1,Primary,72.1
966,Female,6.1,Yes,Urban,96.2,Tertiary,81.1
967,Male,9.7,No,Urban,70.0,Secondary,58.1
968,Male,14.5,Yes,Urban,54.4,Tertiary,97.8
969,Male,12.6,No,Urban,70.2,Primary,76.7
970,Female,14.9,No,Rural,68.7,Tertiary,90.7
971,Female,14.5,No,Urban,75.5,Tertiary,88.4
972,Male,6.4,No,Urban,74.9,Secondary,66.6
973,Female,9.9,Yes,Rural,93.7,Secondary,83.8
974,Male,16.0,Yes,Urban,81.0,Tertiary,100.0
975,Male,2.0,Yes,Rural,53.8,Secondary,52.5
976,Male,9.9,No,Urban,82.8,Secondary,67.3
977,Female,10.9,No,Urban,89.3,Tertiary,79.2
978,Male,13.8,No,Rural,57.7,Tertiary,77.4
979,Male,11.7,No,Urban,60.6,none,62.1
980,Male,5.3,No,Rural,95.5,Tertiary,55.0
981,Female,9.2,Yes,Urban,97.7,Tertiary,100.0
982,Female,13.8,No,Urban,54.8,Secondary,72.9
