RecordID,Year_Sort,Year,Month,Day,Circa,DatingNotes,Place,Diocese,Province,CountryModern,PlaceNotes,Latitude,Longitude,Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Jurisdiction_ID4,Jurisdiction_ID5,Jurisdiction_ID6,Classification,ClassificationNotes,IssuingAuthority,IssuingAuthorityAlt,RegnalStart,RegnalEnd,Delegated,Language,LanguageNotes,Source,SourceOther,Edition,EditionOther,Source_URL,Source_URL2,SourceNotes,TranscriptionNotes,NoKnownText,TextNeeded,Fragment,BaseText,OCR,GeneralNotes,Transcription,BiblioRefs
0280,1340,1334-1349,,,Yes,"Martene dated these to 1334, but c. 21 references Black Death with dates of 1348-1349 specifically; in fact, as the Vatican MS makes clear, it consists of additiones dating from 1334 to 1349",Soissons,Soissons,Reims,France,,49.381667,3.323611,D427,,,,,,Diocesan,,,,,,,Latin,,"Vatican, BAV Vat Reg. lat. 450",,"Gousset, APER II, 577-582",,https://digi.vatlib.it/view/MSS_Reg.lat.450,https://books.google.com/books?id=L9U-AAAAcAAJ,,CoSyn transcription from Gousset edition,,,,WebDownload,Yes,,Reviewed ,
0281,1344,1344,7,26,,,Noyon,Noyon,Reims,France,,49.581667,2.999722,P061,,,,,,Provincial,,Bernard Brion,Bernard Le Brun,1342,1347,,Latin,,,,"Gousset, APER II, 589-96",,https://books.google.com/books?id=L9U-AAAAcAAJ,,,,,,,WebDownload,Yes,"concerned with internal church matters

",Reviewed ,
0282,1344,1344,,,,,Soissons,Soissons,Reims,France,,49.381667,3.323611,D427,,,,,,Diocesan,,Pierre de Chappes,,1331,1349,,Latin,,,,"Gousset, APER II, 596-98",,https://books.google.com/books?id=L9U-AAAAcAAJ,,,,,,,WebDownload,Yes,"nothing of interest
verbatim publication of decrees of provincial council of Noyon of 1344 (as explicitly noted in statutes)",Reviewed ,
0283,1300,1300x1330,,,Yes,"issued 1300x1330 (dates of episcopal reign); original MS gives 1300, Mansi dated it to 1308, Dinelli (p59) states that it was probably early in bishop's reign, and Manselli says nothing on the subject.",Lucca,Lucca,[Holy See],Italy,,43.85,10.5,D127,,,,,,Diocesan,,Enrico del Carretto,,1300,1330,,Latin,,,,"Manselli, Sinodo Lucchese, 210-246",,,,MS breaks off mid-sentence.,,,,Yes,"Library Scan
Hard Copy Scan",,,Reviewed ,
0284,1305,1305 (ca.),,,Yes,incorrectly conflated with 1313 provincial council in earlier Bessin edition; preface gives reasons for dating it to ca 1305,Rouen,Rouen,Rouen,France,,49.443889,1.103333,D433,,,,,,Diocesan,,William II of Flavacourt,Guillaume de Flavacourt,1278,1306,,Latin,,,,"Bessin, Concilia, II, 87-89",,https://books.google.com/books?id=0SGIk69vxS0C,,,,,,,"GoogleBooks
WebDownload",,,Reviewed ,
0286,1311,1311,7,5,,,Bergamo,Turin,Milan,Italy,,45.7,9.666667,P047,,,,,,Provincial,,Cassone della Torre,,,,,Latin,,,,"Mansi 25, col 475-514",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,,"GoogleBooks
Data Capture",,"for diffusion of these statutes in province of Milan, see Gorino-Causa article; for diffusion in diocese of Turin, see Olivieri, Sinodale del vescovo Ludovico, pt. 2 [who notes that the Bp of Turin refused to attend the council itself]; for resistance in Ivrea, see Andenna, Cura della anime, 414-415",Reviewed ,
0287,1317,1317,,,,,Bologna,Bologna,Ravenna,Italy,"Bologna was actually subject directly to Holy See from 1106 onward; but this is titled ""Concilium Ravennate, celebratum Bononiae""",44.5075,11.351389,P059,,,,,,Provincial,,Rinaldo da Concorezzo,,1303,1321,,Latin,,,,"Mansi 25, col 599-628",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0288,1335,1335,5,24,,,Salamanca,Salamanca,Santiago,Spain,,40.965,-5.663889,P069,,,,,,Provincial,,Juan Fernández de Limia,,,,,Latin,,,,"Justo Fernandez, Concilios compostelanos, 361-383","Mansi 25, col 1047-1060; Villanuno, Summa conciliorum III, 166-81; Lopez Ferreiro, Historia de la Santa Iglesia de Santiago, VI, Appendix XXII, pp92-111",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,https://books.google.com/books?id=Vi613hE2KHMC,,,,,"GoogleBooks
Hard Copy Scan",,,Reviewed ,
0289,1255,1253x1261,,,Yes,"dating uncertain; Cossart places it circa 1278 because it follows legatine council of Bourges 1276 in several MSS, and Palazzini dates it 1271x1284, but Avril argues for c. 1255 (see his edition, p209-11), arguing convincingly that it must date to before 1261",Langeais,,Tours,France,,47.3267,0.4069,P081,,,,,,Provincial,,,,,,,Latin,,,,"Avril, Tours, 214-23",,,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0290,1279,1279,,,,,Avignon,Avignon,Arles,France,,43.95,4.817,P006,,,,,,Provincial,,Bernardus,,,,,Latin,,,,"Gallia christiana novissima, Arles, col. 517-525, no. 1304","Mansi 24, col 231-44",https://books.google.com/books?id=B4JPAAAAYAAJ,https://books.google.com/books?id=lOJVAAAAcAAJ,,Abbreviated quotations in GCN expanded from Mansi edition,,,,"GoogleBooks
WebDownload
Data Capture",,"-council celebrated by Dominum Bertrandum [*corr. Bernardum], archiepiscopum Arelatensem, postea episcopum Sabinensem [*corr. Portuensem]

-present at Lyon2: AB of Arles (Bernardus de Languissel, 1273-1281), Bishops of Marseille (Raymundus de Nimes, 1267 – d. 1288), Orange (Jaucelinus, …1272-ca. 1279), Vaison (Giraudus de Libra, v. 1271-v. 1295)
",Reviewed ,
0291,1279,1279,9,30,,Constitutions completed toward late September,Bologna,Bologna,"Tuscany, Romagna, Aquileia",Italy,"Constitutions subsequently read out in Florence, Ferrara, Modena, Bologna, and Lodi (and then sent by patriarch of Aquileia to his suffragans)",44.5075,11.351389,P005,P059,D096,D093,,,Legatine,his legation included much of north-central Italy; the constitutions circulated widely within provinces of Ravenna and Aquileia,Latino Malabranca,,,,,Latin,,,,"Mansi 24, 246-253","Tilatti, Legatus de latere, pp??",https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,"Tilatti, Legatus de latere, pp??"
0292,1279,1279,9,14,,"initially issued in Buda on September 14, 1279; but the legate rushed to the border after the synod of Buda and placed the kingdom under interdict; full version appears to have been promulgated in Gniezno in 1282 (the legate's competence included Poland)",Buda,,"Esztergom, Kalocsa",Hungary,,47.466667,19.05,P028,P036,,,,,Legatine,National Council,"Filippo, Bp of Fermo",,,,,Latin,,,,"Hube, Antiquissimae constitutions, 72-164","Mansi 24, col 270-308; Peterffy, Sacra Concilia, 105-26; Endlicher, Rerum Hungaricum, I, 565-602",https://books.google.com/books?id=WKQNr6vfMvgC,https://books.google.com/books?id=lOJVAAAAcAAJ,,"Final 53 canons missing from Peterffy/Mansi editions (which are based on two Roman MSS); the missing constitutions survive as the Gniezno 1282 reissue, albeit missing part of c. 27 (which Hube sees as a later addition. Numbering of canons also differs between the two versions",,,Yes,"GoogleBooks
Data Capture",,"1279 National Synod in Buda, under King Ladislaus IV and Lodomerius, AB Strigoniensi; constitutions issued by legate Philip, Bishop of Fermo

None of the legislation from earlier councils (Kalocsa 1222 & 1225, Esztergom 1252, Buda 1263) survives.",Reviewed ,"Kosztolnyik, Synod of Buda [79-80 for borrowing from earlier texts]; Adrianyi, Ungarischen synoden, 545-46; Waldmueller, Die Synoden in Dalmatien, 188-200"
0293,1279,1279,,,,,Angers,Angers,Tours,France,,47.473612,-0.554167,P081,,,,,,Provincial,,Jean de Montsoreau,,1271,1284,,Latin,,,,"Avril, Tours, 271-75",,,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0295,1282,1282,12,19,,"18-19 December; republished in 1307, and confirmed anew in 1351",Aquileia,Aquileia,Aquileia,Italy,,45.766667,13.366667,P005,,,,,,Provincial,,Raimondo della Torre,,1273,1299,,Latin,,"Cividale, Biblioteca del Museo Archeologico, Pergamene capitolari, VII (1273-1283), n. 143 ",,"Mansi 24, col 427-438","De Rossi, Monumenta ecclesiae Aquileiensis, cols. 781-794",https://books.google.com/books?id=lOJVAAAAcAAJ,,,"CoSyn transcription from Mansi, but Andrea Tilatti has also provided a transcription of the Cividale MS",,,,"GoogleBooks
Data Capture",,"On March 21, 1283, the 1282 provincial canons of Aquileia were read out in the duomo of Cividale del Friuli by the dean of the chapter, before the gathered clergy and people, first literaliter and then vulgariter; everyone was ordered to observe them on pain of excommunication [see Nicolò da Cividale e Francesco di Nasutto da Udine. Notai patriarcali, eds. S. Blancato and E. Vittor, p. 98, doc 11; cited in Tilatti, Autorita dei concili, 70]
",Reviewed ,"Demontis, Raimondo della Torre"
0296,1282,1282,,,,,Avignon,Avignon,Arles,France,,43.95,4.817,P006,,,,,,Provincial,,Bertrand Amalric,,,,,Latin,,,,"Gallia christiana novissima, Arles, 532-536, no 1322","Mansi 24, col 438-446",https://books.google.com/books?id=B4JPAAAAYAAJ,http://google.com/books?id=lOJVAAAAcAAJ,text in Mansi is incomplete (breaks off midway through c. 11),"based on Mansi, with additions and corrections from GCN",,,,"GoogleBooks
WebDownload
Data Capture",,,Reviewed ,
0297,1284,1284,3,28,,,Melfi,Melfi,[Holy See],Italy,,41,15.65,R007,,,,,,Legatine,issued by Cardinal-Legate,Gerardo Bianchi da Parma,Gerardus Blancus,,,,Latin,,,,"Herde, Legation...Gerhard v. Sabina, 46-53","Mansi 24, col 569-576",,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,"Library Scan
Hard Copy Scan",Yes,,Reviewed ,
0298,1286,1286,,,,,Forlì,Ravenna,Ravenna,Italy,,44.233333,12.05,P059,,,,,,Provincial,,Bonifacio Fieschi OP,,1275,1294,,Latin,,,,"Mansi 24, col 616-26",,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,,"GoogleBooks
WebDownload",,,Reviewed ,
0299,1287,1287,,,,,Exeter,Exeter,Canterbury,England,,50.716667,-3.53333,D308,,,,,,Diocesan,,Peter Quinel,"Peter Quivel, Peter de Exonia",1280,1291,,Latin,,,,"Powicke & Cheney II, 982-1059",,,,,,,,,Data Capture,,"

",Reviewed ,
0300,1287,1287,9,12,,,Milan,Milan,Milan,Italy,in ecclesia Sancte Tecle,45.4666,9.1666,P047,,,,,,Provincial,,Ottone Visconti,,1262,1295,,Latin,,,,"Baroni, Atti dell'arcivescovo...Visconti, doc. CCLXVI (pp227-234)","Muratori, RIS, VIII, Milan (1726), coll. 1053-1068; Mansi 24, col 868-882; Arnoldi, Carte dell'Archivio Arcivescovile di Vercelli, pp324-335, n. 77",,https://babel.hathitrust.org/cgi/pt?id=wu.89106551070,,,,,,"Library Scan
WebDownload",Yes,,Reviewed ,
0301,1229,1229,5,21,,"Maccarrone, Cura animarum, 321, opts for 1228; Benvenuti opts for 1237, Mansi opts for 1287; Olivieri, Tradizione sinodale, 310, gives 1229",Lodi,Lodi,Lombardy,Italy,,45.316667,9.5,R005,,,,,,Legatine,"council held by Goffredo di Castiglione, apostolic legate in Lombardy (later Pope Celestine IV); statutes then issued by Enrico di Settala, AB of Milan",Enrico di Settala,,1213,1230,,Latin,,,,"Mansi 24, cols 882-86","Muratori, RIS, 8, cols. 1065-1068; Salsotto, Per la storia della chiesa novarese, pp32-33",https://books.google.com/books?id=lOJVAAAAcAAJ,https://archive.org/stream/RerumItalicarumScriptores8/Rerum_Italicarum_Scriptores_8#page/n585/mode/2up,"Mansi edition taken from Muratori.
See also the version surviving in Novara MS (ed. Salsotto), though these are mistakenly attributed to Gerardo, Bp of Novara; for clarification, see Olivieri, Note sulla tradizione sinodale, n. 26",,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0303,1288,1288 (ca.),,,Yes,,L'Isle-sur-Sorgue,Cavaillon,Arles,France,,43.9199,5.0549,P006,,,,,,Provincial,,Rostang de Capre,,,,,Latin,,,,"Albanes, Gallia christiana novissima, cols. 544-47, no 1339","Mansi 24, col 952-964",http://gallica.bnf.fr/ark:/12148/bpt6k941738/f276.image,http://google.com/books?id=lOJVAAAAcAAJ,,,,,,"GoogleBooks
WebDownload",Yes,"collected statutes of 7 provincial councils of Arles
consists largely of emendations/reconfirmations of earlier statutes, with only the incipits of these given (which suggests that the recipients had these texts ready to hand)
-for 1301 violation of statutes against clerics bearing arms (contra formam statuti per reverendum patrem dominum B. dei gratia Cavellicensem episcopum in sua sinodo editi), see ADV, 4 G1, n. 78 (cited in Theis, Gouvernement pontifical, 524-525)",Reviewed ,
0304,1289,1289,,,,,Chichester,Chichester,Canterbury,England,,50.83652,-0.77918,D306,,,,,,Diocesan,,Gilbert of St. Leofard,,1288,1305,,Latin,,,,"Powicke & Cheney II, 1082-1090","Mansi 24, col 1056-1064",,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,Data Capture,,,Reviewed ,
0307,1292,1292,9,15,,,Aschaffenburg,,Mainz,Germany,,49.966667,9.15,P043,,,,,,Provincial,,Gerhard II,,,,,Latin,,,,"Hartzheim, Concilia Germaniae IV, 7-16","Mansi 24, col 1082-1090?",https://books.google.com/books?id=kbNumdYKdrkC,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",,"survives in 5 MSS (Johanek, Synodalia, III, Anhang I)",Reviewed ,
0308,1292,1292,,,,,Tarragona,,Tarragona,Spain,,41.115697,1.249594,P077,,,,,,Provincial,,Rodrigo Tello,Roderic Tellez,,,,Latin,,,,"Pons Guri, Constitucions conciliars, Repr. II, 315-20","Mansi 24, col 1105-1112",,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,"Library Scan
Hard Copy Scan",Yes,,Reviewed ,
0309,1294,1294,,,,,Saumur,,Tours,France,,47.26,-0.076944,P081,,,,,,Provincial,,Renaud de Montbazon,,1291,1312,,Latin,,,,"Avril, Tours, 302-6",,,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0310,1298,1298,,,,,Saintes,Saintes,Bordeaux,France,,45.7464,-0.6333,D374,,,,,,Diocesan,,Guy de Neufville,,1296,1312,,Latin,,,,"Mansi 24, col 1185-86",,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0311,1298,1298,,,,,Würzburg,Würzburg,Mainz,Germany,,49.788,9.936,D561,,,,,,Diocesan,,Manegold von Neuenburg,,1287,1303,,Latin,,,,"Himmelstein, Synodicon Herbipolense, 139-159","Mansi 24, col 1187-?",https://books.google.com/books?id=t8UCAAAAQAAJ,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,"GoogleBooks
Hard Copy Scan",Yes,,Reviewed ,
0312,1300,1300,3,18,,Mansi opts for 1299 dating; Hefele-Leclercq argue for 18 March 1300,Anse,,Lyon,France,,45.935,4.718,P041,,,,,,Provincial,,Henri de Villars,,1295,1301,,Latin,,,,"Mansi 24, col. 1218-1232",,,,,,,,,"GoogleBooks
Data Capture",,"preface modelled on that of l""Isle 1288",Reviewed ,
0313,1286,1286,9,19,,17-19 September,Bourges,Bourges,Bourges,France,,47.0844,2.3964,P015,,,,,,Provincial,,Simon de Beaulieu,,,,,Latin,,,,"Mansi 24, col 625-648",,https://books.google.com/books?id=lOJVAAAAcAAJ,,"better edition of additions in Martene, Thes, IV, 199-203",,,,,"GoogleBooks
Data Capture",,Largely restates earlier legislation; cc. 36 & 37 are additions enacted at council itself,Reviewed ,
0314,1285,1285,,,,,Riez,Riez,Aix,France,,43.8189,6.0936,P003,,,,,,Provincial,,Rostan de Noves,,1283,1311,,Latin,,,,"Mansi 24, col . 575-94",,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0315,1286,1286,,,,"[dated 1286 in Statuta synodalia lugdunensis, fol 30v; and in Martene/Mansi]",Mâcon,Mâcon,Lyon,France,,46.3063,4.8313,P041,,,,,,Provincial,,Raoul II de Thourotte,,1284,1288,,Latin,,,,"Martene Thes IV, 204-208 ",[also in Mansi],https://books.google.com/books?id=bjSeGwAACAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0316,1290,1290,,,,,Embrun,Embrun,Embrun,France,,44.5658,6.4961,P027,,,,,,Provincial,,Raymond de Mevouillon,,1289,1294,,Latin,,,,"Martene, Thes IV, 209-210","Mansi 24, col 1064-1066",https://books.google.com/books?id=bjSeGwAACAAJ,https://books.google.com/books?id=lOJVAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",,confirmation of Henry of Susa's statutes (1 c.) and 4 new statutes,Reviewed ,
0317,1299,1299,10,29,,,Béziers,Béziers,Narbonne,France,,43.347615,3.218991,P050,,,,,,Provincial,,Gilles Aycelin de Montaigu,,1287,1311,,Latin,,,,"Martene, Thes, IV, 225-228",,https://books.google.com/books?id=bjSeGwAACAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0318,1310,1310,,,,,Béziers,Béziers,Narbonne,France,,43.347615,3.218991,P050,,,,,,Provincial,,Gilles Aycelin de Montaigu,,1287,1311,,Latin,,,,"Martene, Thes, IV, 228-236",,https://books.google.com/books?id=bjSeGwAACAAJ,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0319,1332,1332,,,,,Barcelona,Barcelona,Tarragona,Spain,,41.383333,2.183333,D643,,,,,,Legatine,,,,,,,Latin,,,,"Martene, Thesaurus, IV, 595-620 ",,https://books.google.com/books?id=bjSeGwAACAAJ,,,,,,,GoogleBooks,,"1332 Constitutiones capitulorum ecclesiae Barchinonensis, issued by Johannem Sabinenses (papal legate in Spain), which include episcopal constitutions of Barcelona from 1277, 1280, 1281, 1288, 1298, 1317, 1324",Reviewed ,
0320,1341,1341,,,,,Barcelona,Barcelona,Tarragona,Spain,,41.383333,2.183333,D643,,,,,,Other,Capitular constitutions,Ferrer de Abella,,1335,1344,,Latin,,,,"Martene, Thesaurus, IV, 620-623",,https://books.google.com/books?id=bjSeGwAACAAJ,,,,,,,GoogleBooks,,,Reviewed ,
0321,1330,1330,2,26,,contains some later insertions,Tarragona,Tarragona,Tarragona,Spain,,41.115697,1.249594,P077,,,,,,Compilation (Provincial),,Juan de Aragón,Joan d'Arago,1327,1334,,Latin,,,,"Pons Guri, Constitucions conciliars, Repr. II, pp. 347-87","Martene, Thes, IV, 284-328 ",,https://books.google.com/books?id=bjSeGwAACAAJ,,,,,,"Library Scan
Hard Copy Scan",Yes,"three councils all held by held by John patriarch of Alexandria and administrator of the church of Tarragona (other two undated); none mention usury

nor does undated council held by Bishop Arnaldo Sescomes betw. 1334-1346 [dates of bishopric]

-Puchades, Als ulls, 93, notes that none of the general councils of the Tarraconense celebrated between 1274 and 1330 contain constitutions against usury",Reviewed ,
0323,1365,1365,5,14,,"Palazzini, Dizionario, p59 argues for 13 May rather than 14",Apt,,"Arles, Embrun, Aix",France,,43.8769,5.3969,P003,P006,P027,,,,Provincial,,,,,,,Latin,,,,"Gallia christiana novissima, Arles, cols. 693-703, no. 1621","Martene, Thes, IV, 331-40",https://books.google.com/books?id=B4JPAAAAYAAJ,https://books.google.com/books?id=bjSeGwAACAAJ,,transcription from Martene,,,,"GoogleBooks
Data Capture",,"from Wikipedia: The council of Apt was held on 14 May 1365 in the cathedral of that city by the archbishops and bishops of the provinces of Arles, Embrun and Aix-en-Provence, in the south of France. Twenty-eight decrees were published and eleven days of indulgence were granted to those who would visit with pious sentiments the church of the Blessed Virgin in the Diocese of Apt on the feast of the Exaltation of the Holy Cross and venerate there certain relics of the Cross.",Reviewed ,
0324,1300,1300,2,21,,,Melun,,Sens,France,,48.540556,2.66,P070,,,,,,Provincial,,Etienne Bécard,,,,,Latin,,"Paris, Arsenal 394 fols. 198r-200r",,"Mansi 25, col 1-6",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,CoSyn Transcription from Mansi edition,,,,"GoogleBooks
Digital MS
Data Capture",,,Reviewed ,
0326,1302,1302,5,13,,,Penafiel,,Toledo,Spain,,41.5998,-4.119,P078,,,,,,Provincial,,Gonzalo Dias Palomeque,,,,,Latin,,,,"Sanchez Herrero, Concilios y sinodos Toledanos, 165-72","Mansi 25, col 100-110",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,"Library Scan
Hard Copy Scan",,,Reviewed ,
0327,1303,1303 (ca.),12,2,Yes,"dating not certain, according to Kay, Making of Statutes, 220. Jacquin suggests that acts of the council of 1300 were published in 1303. This is confirmed by entry in BnF Latin 12105, f. 179r: ""publicae fuerunt constitutiones predictae apud Viragol die lunae proxima post festum Beati Andreae Apostoli in Concilio provinciali celebrato per REverendum in CHristo patrem Dominum A. divina miseratione Archiepiscopum Auxitanum, praesentibus et assistentibus venerab. … sub anno domini MCCC tertio publicetur""",Nogaro,,Auch,France,,43.7592,-0.0328,P008,,,,,,Provincial,,Amanieu II d'Armagnac,,1261,1318,,Latin,,,,"Mansi 25, col 111-16",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,,"GoogleBooks
Data Capture",,"Much uncertainty surrounding these statutes (which may be compilation including texts from 1300, 1303, 1326).
",Reviewed ,"For dating and subsequent transmission, see Jacquin, Conciles d'Amanieu II d'Armagnac"
0328,1308,1308,,,,"reissued in 1327, 1386, and 1459, according to text ",Pistoia,Pistoia,Lucca,Italy,,43.93333,10.91667,D187,,,,,,Diocesan,,Ermanno,,,,,Latin,,,,Mansi 25 col 169-174,"Zaccaria, Anecdotorum Medii Aevi (1755), 137-149",https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,notes concerning repromulgation/ratification omitted from transcription,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0330,1310,1310,3,11,,March 9-11,Cologne,Cologne,Cologne,Germany,,50.94257,6.958976,P023,,,,,,Provincial,,Heinrich von Virneburg,,1306,1332,,Latin,,,,"Wolter, Synodalstatuten, 211-231, no. 11","Hartzheim, IV, 117-27; Mansi 25, col 229-248; REK IV, pp99-102, nr. 498 (summary in German)",https://books.google.com/books?id=kbNumdYKdrkC,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0331,1311,1311,6,,,,Ravenna,Ravenna,Ravenna,Italy,,44.41667,12.2,P059,,,,,,Provincial,,Rinaldo da Concorezzo,,1303,1321,,Latin,,,,"Mansi 25, col 449-476",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0332,1315,aft. 1315,,,Yes,"Mansi dates to 1314, and Hartzheim to 1313, but Palazzini says it must be 1315 or later",Magdeburg,Magdeburg,Magdeburg,Germany,,52.133333,11.616667,P042,,,,,,Provincial,,Burchard III,,1308,1325,,Latin,,,,"Hartzheim, Concilia IV, 244-246","Mansi 25, col 523-526",https://books.google.com/books?id=kbNumdYKdrkC,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0333,1314,1314,10,10,,,Argenta,Ferrara,Ravenna,Italy,,44.616667,11.85,P059,,,,,,Provincial,,Rinaldo da Concorezzo,,1303,1321,,Latin,,,,"Mansi 25, col 535-550","Rossi, Historiarum ravennatum, 856-867",https://gallica.bnf.fr/ark:/12148/bpt6k516090/,https://books.google.com/books?id=rNNUAAAAcAAJ,,,,,,"GoogleBooks
Data Capture",,"attended by bishops of Comacchio, Cervia, Forlimpopoli, Faenza, Cesena, and procurators of bishops of Adria, Bologna, Reggio, and the chapter of Modena (then sede vacante)",Reviewed ,
0334,1315,1315,,,,,Saumur,,Tours,France,,47.26,-0.076944,P081,,,,,,Provincial,,Geoffroy de la Haye,,1314,1323,,Latin,,,,"Avril, Tours, 317-22",,,,,,,,,Hard Copy Scan,Yes,,Reviewed ,
0336,1310,1300x1320,,,Yes,"dating uncertain, but from first two decades of 14th-c",Perugia,Perugia,[Holy See],Italy,,43.112222,12.388889,D182,,,,,,Diocesan,,Francesco,,,,,Latin,,,,"Mansi 25, col 639-648",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
0337,1322,1322,,,,Mansi dates this to 1321; Wilkins to 1322,London,London,Canterbury,England,,51.507222,-0.1275,P020,,,,,,Provincial,,Walter Reynolds,,1313,1327,,Latin,,,,Wilkins 2:512-514,"Mansi 25, 670-684;",https://books.google.com/books?id=FRtUAAAAcAAJ,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,"GoogleBooks
WebDownload",,Inc. Cum quanta reverentia...,Reviewed ,
0338,1322,1322,6,7,,,Valladolid,Palencia,[Spain],Spain,began in Palencia on 15 December 1321; ended in Valladolid on 7 June,41.633333,-4.716667,P069,P078,D660,D661,D662,,Legatine,Godin was legate to Castile and Leon,Guillermo de Godin,,,,,Latin,Castilian translation survives as well,,,"Tejada y Ramiro, Coleccion, III, 477-504","Mansi 25, 695-724; Villanuno, Summa conciliorum III, 112-139",https://books.google.com/books?id=EPRWl_29PlsC,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,https://books.google.com/books?id=Vi613hE2KHMC,,,,,"GoogleBooks
Hard Copy Scan",Yes,,Reviewed ,
0339,1323,1323,9,24,,"""Samedi après la fête de st mathieu l’apôtre""",Paris,Paris,Sens,France,,48.24754,3.287659,P070,,,,,,Provincial,,Guillaume de Melun,,,,,Latin,,"Paris, Arsenal 394 fol. 204r-208v",,"Mansi 25, col 727-730",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,CoSyn Transcription from Mansi edition,,,,"GoogleBooks
Data Capture
Digital MS",,,Reviewed ,
0340,1324,1324,11,21,,,Toledo,Toledo,Toledo,Spain,,39.856667,-4.024444,P078,,,,,,Provincial,,Juan III de Aragon,,1319,1328,,Latin,,,,"Sanchez Herrero, Concilios y sinodos Toledanos, 185-88","Mansi 25, col 730-736",,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,"Library Scan
GoogleBooks
Hard Copy Scan",,,Reviewed ,
0341,1326,1326,6,18,,,Saint-Ruf,Avignon,"Arles, Aix, Embrun",France,"see Boisset, Reception, 43",43.932908,4.812217,P003,P006,P027,,,,Provincial,,,,,,,Latin,,,,"Albanes, Gallia christiana novissima, Arles, cols. 612-633, no. 1520; ","Mansi 25, col 739-774",https://books.google.com/books?id=B4JPAAAAYAAJ,https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,"GoogleBooks
WebDownload",Yes,"Joint council for provinces of Arles, Aix-en-Provence, Embrun",Reviewed ,
0342,1326,1326,2,11,,,Toledo,Toledo,Toledo,Spain,,39.856667,-4.024444,D607,,,,,,Diocesan,"issued by Juan Vicente, vicar",Juan de Aragón,,,,Yes,Latin,,,,"Synodicon Hispanum, X, 547-549","Sanchez Herrero, Concilios y sinodos Toledanos, 193-94",,,,,,,,"Library Scan
Hard Copy Scan",Yes,,Reviewed ,
0343,1327,1327,1,21,,,Ruffec,,Bordeaux,France,,46.0294,0.2,P014,,,,,,Provincial,,Arnauld de Canteloup,,,,,Latin,,,,"Mansi 25, col 805-806","Cartulaire de l'eveche de Poitiers, ed Redet (1881), 174-175",https://gallica.bnf.fr/ark:/12148/bpt6k516090/,,,,,,,"GoogleBooks
Data Capture",,,Reviewed ,
